	11-1163-Wt-P8	12-1163-Wt-P9	16-1164-IgAKO-P8	17-1164-IgAKO-P9	2-1161-Wt-P9	21-1165-Wt-P8	22-1165-Wt-P9	26-1166-IgAKO-P8	27-1166-IgAKO-P9	41-1169-Wt-P8	42-1169-Wt-P9	46-1170-IgAKO-P8	47-1170-IgAKO-P9	6-1162-IgAKO-P8	7-1162-IgAKO-P9
Cct4	1.4922693462	-1.02585643938	1.35250854596	-0.616394397172	-1.19242419101	0.0454529565521	-1.02603644037	0.925818531086	-0.887810737756	0.802583905836	-0.50152861839	1.42918168463	-0.0861624147484	0.690775611143	-1.40237734259
Mtpn	-0.360782496946	1.580215804	-0.708038555039	0.988034482749	1.40129808211	-1.2963413322	0.393714553751	-1.26895921443	1.10574373404	-1.07796221733	0.60996904503	-1.37487266608	0.667534346049	-0.626172699286	-0.033380866425
Myo1g	-0.554024374354	0.828169278037	-0.870404936724	0.881528959544	1.45773290501	-0.766042714297	1.67325389727	-0.875049059487	1.09457168482	-1.3386108287	-0.268644820068	-1.37573259123	-0.22374220847	-0.584356765881	0.921351574527
Kdm7a	-1.26319815807	1.29706363723	-0.50542132484	0.792276801069	1.40467726017	-0.849265592902	0.822665363827	-1.05888977514	1.09113844689	-1.16849462837	0.146375069194	-1.39294418513	0.134876322928	-0.63640590741	1.18554667054
Gdi2	1.02833450404	-0.931322062929	1.42524388729	0.36036940186	-1.19319376849	-0.0631603258258	-1.33208350508	0.567534821436	-0.708821217455	0.889830156661	-0.324651329374	1.48287428914	0.368761121631	0.315871211209	-1.88558718412
Hsph1	0.531189385695	0.806519532389	-0.00513571913787	0.302713363027	-1.1800184696	1.66188875161	1.95470736284	0.21725514925	0.0935134946114	-0.620012636228	-1.57722487832	-0.948054465549	-1.35284316157	0.468142909832	-0.352640618849
Stat6	-0.976147421742	1.22544979874	-0.69566082224	0.919730957888	0.701087045051	0.0895187345489	2.08638448408	-0.541993068882	0.712877947641	-1.35417415273	-0.0749394586775	-1.7613110594	-0.275994701253	-0.547882832487	0.493054549456
Ddit4	0.376803272149	-1.4792650619	1.42799864347	-0.396936929959	-0.382139869784	-0.57087151002	-1.91184738756	1.59987013824	0.067325005954	0.795725518609	-0.428801627349	1.08357634697	-0.372681022563	0.999360700014	-0.808116216276
Stat1	1.30172760763	0.335350703089	0.866460486168	1.12786225913	-0.329978104461	0.482394363283	0.398201025758	0.685577651561	0.599796904754	0.0848986926288	-0.405627867126	-1.13861449716	-0.705789851975	-0.550786877912	-2.75147249536
Hspa4	1.61966515297	-0.385148869657	1.02881275619	-0.634508775547	-1.18098324441	0.0982462166079	-1.5575041339	0.760230551134	0.0359430135217	0.979858952828	0.197697389285	0.859807691825	0.263002588797	0.0474734111599	-2.1325927008
Actr3	0.294453767442	1.09943012406	-0.142949762216	1.24533391124	1.74563928687	-0.979114504972	1.43174758688	-0.525559333337	0.333464505144	-1.62888570893	-0.0181850286739	-1.1436842658	0.0630369695729	-0.613859221629	-1.16086832565
Kctd12	-1.45333661047	0.926319251494	-0.364098811004	-0.398336311285	1.20138184768	-0.321340687828	0.779164066276	-0.0731671229819	0.397027811287	-1.02855257522	-0.459725573498	-1.1851126264	-1.16613720871	1.10401104409	2.04190350657
Gpr183	-0.98079229228	0.576045723673	-1.16870574812	-0.0327176492371	0.411742111435	-1.38231693183	0.379978725616	-1.6277103757	0.385969338753	-0.141045497127	1.46600737967	-0.341067074827	1.45977122929	-0.599156121923	1.59399718261
Tcf4	0.485902611111	-0.603921797529	0.880250551948	-0.992222468991	-0.680189713554	0.656100573213	-1.17863980834	0.978881815833	-0.859523649611	1.58703375631	-0.496586450928	1.43129321715	-0.355984136402	0.869301672132	-1.72169617235
Dcaf7	0.531997498765	-0.327438629789	1.47101829627	-0.642480066249	0.254028875921	1.6185077377	-0.96025357503	1.32523347241	-0.280319731119	0.365679783557	-0.985865831536	0.113319677342	-1.32698551571	0.655475734535	-1.81191772707
Ttpal	-0.586261334202	1.47049206904	-0.65272339105	0.635282585685	1.33300434451	-0.234662027051	0.596856288275	-0.995131800449	1.15460277142	-1.26907960194	0.942676953939	-1.73080448268	0.719187623472	-0.994745419014	-0.388694579961
Mif4gd	-0.14634023993	1.23547796502	-0.993923275165	0.999870476389	0.846820435148	-0.92287687962	1.16461419867	-1.26290594178	0.870894334359	-1.0884907208	0.643132650814	-1.47085294937	0.577686591342	-1.22350328166	0.770396636585
Ttyh3	-1.83181830357	0.169739948304	-0.974666780808	0.405700362361	1.39860817242	0.0658640344893	1.24493652287	-0.386767472924	0.745088146223	-1.07097166504	0.341871979746	-1.54995044399	-0.166847967109	-0.000744525962024	1.60995799298
Ago2	-1.10108198283	1.11084076162	-0.236047055569	0.601331368131	0.958430141156	0.00271760478627	1.20778452727	-0.760455932734	0.647354334007	-1.52115942836	-0.371895533322	-1.69348107896	-0.614561101878	0.0199549425732	1.75026843411
Hnrnpa2b1	1.14287354936	-1.3160990526	0.070282251729	-0.948661650816	-1.28291031336	1.05408643561	-0.298613350062	-1.06936508615	0.0167189918701	0.803073553111	-0.15414475054	0.560223551379	-1.22261725439	2.06119958515	0.583953539712
Grb2	-0.518319632905	0.986508182222	-0.598500201888	0.957500050936	0.220531619562	0.528631995514	2.23765931268	-1.37468011332	0.585180080998	-0.923621809066	-0.333938825415	-1.77659858264	-0.137708828221	-0.544801844636	0.692158596181
Lasp1	-0.622203825222	1.230355222	-0.775291105974	0.907296477857	0.963512751932	-0.524159985892	1.19158232724	-1.24125173392	0.835969625643	-1.35771981809	0.681048709606	-1.6047858436	0.412679058019	-0.985192379376	0.888160519782
Tbl1xr1	1.35039727652	-0.762974041772	1.23791342899	-0.850032143235	-0.629844047626	0.414468387232	-1.28124131539	1.09259596233	-0.706404893901	0.961156329611	-0.952181697196	0.894823444587	-1.20870673046	1.28008746283	-0.840057422518
Dgka	-0.869149197402	0.976793804989	-0.986141683674	0.793836208857	0.862934904913	-1.09894089254	0.990946635966	-0.985113195636	0.903349955228	-1.23857629599	0.828475316615	-1.29633209722	0.765568823675	-0.92335342672	1.27570113894
Capzb	1.58454830228	-0.938294591667	0.984293772607	-0.386552857388	-0.86751201948	0.831920967471	-0.79442409244	0.657569637428	-1.11207374255	1.17227244904	-0.327581717667	0.829536544484	0.00978313257735	0.448175548314	-2.09166133302
Trim28	1.64188136051	0.155353226656	0.65876629705	0.171876438301	-0.134612442816	1.24562865806	0.813848881967	0.628649720161	0.153401412037	-1.29782652812	-1.57632423717	-0.816397140039	-1.80762893829	0.806004141296	-0.642620849593
Rnf44	-1.16656966669	0.74261327552	-0.914625520367	0.71043786093	0.991194789923	-0.404989648313	1.22751181086	-0.681731023502	1.1769482623	-1.53847596343	-0.0819844284203	-1.62009195753	0.150372551309	-0.0792108962099	1.48860055361
Eps15	0.740467275849	-0.759684200392	1.16987666453	-0.717481964666	-0.838260580365	1.37810536018	-0.785813332852	1.20055910878	-0.762589206426	0.944722379473	-1.26979419192	0.673682417322	-1.20102366108	1.19110315398	-0.963869222424
Irf2bp2	-0.56356704878	0.142487653674	-0.27214163848	-0.0954887190861	-0.273618135083	-0.00704475536962	0.822604156131	-0.546960739303	-0.33438721119	-0.943095179861	-0.52269846544	-0.964357321731	-0.81318914404	1.44154573425	2.92991081431
Arpc1b	-1.22574989442	-1.5713189777	-0.868278599836	-0.258985126983	-0.816424297964	-0.791187845786	-0.0468606247701	-0.524915182852	-0.326814707417	1.01610363482	1.40647849883	1.07136606807	1.63192024708	-0.00254491690567	1.30721172583
Mybbp1a	0.88483054792	-1.05515609332	0.830035383883	-0.902315460667	-1.19856738801	0.90610719555	-1.12231193162	1.31914384645	-0.295717941926	1.14681779606	-0.91250973195	0.823642866406	-0.924059620758	1.35697466542	-0.856914133437
Bzw2	1.00660964512	-1.17760483066	1.00041896766	-0.580793893571	-0.975683285148	1.06297646061	-1.08566704428	1.1770698254	-0.824837570969	1.01900259746	-0.936830044119	1.21985819783	-0.722648756618	0.907211549407	-1.08908181811
Ptpn22	0.880457277252	-0.75308312043	0.92543938333	-0.950532924424	-0.509564964026	0.996104902985	-0.991792629385	1.20199390692	-0.703462603931	1.1588794346	-1.26101007199	1.12560601081	-1.3363279773	1.0341220686	-0.816828693021
Pde4b	-0.803957699887	1.34205743582	-0.604583393018	0.904672738412	0.929816276871	-1.35509480642	0.717102369541	-1.39432871698	1.0604635255	-0.978508771767	0.67979870121	-1.3697076652	0.685662085786	-0.713392999487	0.900000919611
Sept9	1.07542923594	-1.08981886645	0.86676191403	-0.971339410488	-0.921155318583	1.28853905062	-0.77837470525	0.63004069929	-1.06362278309	0.902906829182	-0.871665754692	0.612530068527	-0.919273641964	1.79320912083	-0.554166437908
Napsa	-0.146196355889	-0.740605869316	-0.513424285113	-1.11357934642	1.92047080498	0.850985193223	0.125125208279	0.593412597589	-1.15494609573	0.375416479704	0.61418480558	0.652160991286	-0.520215163083	1.13388790546	-2.07667687055
